epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6489,2.99555,4.35491,16.546,0.16867,0.23333,0.09986,0.05725,2.89791,4.46514,8.72301,8e-05,8e-05,0.09208
2,26.7136,2.64992,4.10039,10.008,0.17778,0.26667,0.1149,0.05607,2.84188,4.37996,9.09649,0.000169741,0.000169741,0.0831697
3,39.6826,2.68784,3.77685,7.46529,0.17045,0.25,0.11382,0.05539,2.84764,4.48071,9.60985,0.000258415,0.000258415,0.0742584
4,52.9642,2.53175,3.54458,5.26038,0.16327,0.26667,0.08317,0.04185,2.84666,4.47034,8.86962,0.000345213,0.000345213,0.0653452
5,65.8036,2.68659,3.64855,7.91476,0.12371,0.2,0.06457,0.03547,2.93852,4.46718,9.96195,0.00042934,0.00042934,0.0564293
6,78.4992,2.7574,3.85772,5.99475,0.36576,0.1,0.06757,0.03477,3.02176,4.33411,12.6252,0.00051003,0.00051003,0.04751
7,91.5552,2.60295,3.28061,7.67622,0.3838,0.11667,0.07589,0.03245,3.16339,4.22265,12.6095,0.00058655,0.00058655,0.0385865
8,104.43,2.5459,3.48143,5.43421,0.36175,0.1,0.07089,0.0316,3.2543,4.02406,9.78673,0.00065821,0.00065821,0.0296582
9,117.294,2.32581,3.16409,9.02587,0.28952,0.08333,0.05748,0.03039,3.24205,4.12499,9.90051,0.000724371,0.000724371,0.0207244
10,130.141,2.61874,3.63653,5.69245,0.10227,0.15,0.06213,0.02918,3.3315,4.09647,8.28087,0.000784447,0.000784447,0.0117844
11,143.198,2.79103,3.66537,5.66064,0.17699,0.11667,0.05904,0.02853,3.31209,4.15427,9.91692,0.000837917,0.000837917,0.00283792
12,155.993,2.55907,3.63144,7.72293,0.22041,0.11667,0.05552,0.02332,3.29565,4.22762,10.2254,0.000826477,0.000826477,0.000826477
13,169.182,2.67042,3.33726,5.30326,0.23016,0.11667,0.06002,0.02366,3.29427,4.16331,9.70359,0.000795954,0.000795954,0.000795954
14,182.554,2.69962,3.48319,5.21888,0.20153,0.11667,0.06462,0.02338,3.27433,4.1177,9.83982,0.000763637,0.000763637,0.000763637
15,196.559,2.63545,3.30849,5.80564,0.26338,0.11667,0.07204,0.02407,3.31437,3.88494,9.65114,0.000729725,0.000729725,0.000729725
16,210.343,2.3675,2.96456,4.98372,0.27299,0.11667,0.06872,0.0237,3.27565,3.79876,9.84969,0.000694428,0.000694428,0.000694428
17,224.492,2.72278,3.53325,5.87517,0.3125,0.13333,0.08029,0.02705,3.2667,3.78745,11.6296,0.000657963,0.000657963,0.000657963
18,238.407,2.56426,3.07335,5.89617,0.36795,0.16667,0.10204,0.02969,3.25232,3.75979,12.4853,0.000620555,0.000620555,0.000620555
19,251.898,2.56581,3.34479,4.33262,0.37857,0.16257,0.10883,0.03287,3.17806,3.72762,9.62801,0.000582435,0.000582435,0.000582435
20,265.368,2.6406,3.38973,5.40767,0.33081,0.15668,0.10535,0.03178,3.16773,3.89012,9.38606,0.000543837,0.000543837,0.000543837
21,278.628,2.74716,3.56941,5.71027,0.32236,0.13333,0.08723,0.02694,3.20394,3.8987,9.5128,0.000505,0.000505,0.000505
